1000일 만난 여자친구와 이별,더 오래 만날 사람 만날 거예요.,1
10년 연애. 헤어졌습니다.,더 공허함이 크시겠네요.,1
10년 연애사 되돌아보니 다 부질없네,더 좋은 사람 만나실 거예요.,1
10년 연예의끝,더 마음이 허하겠어요.,1
10년만나다 헤어지네,충분히 슬퍼하고 충분히 아파하다가 이겨내세요.,1
10년이라는 시간이 참 무색하다 싶네,함께 걸은 길을 혼자 돌아가고 계시겠네요.,1
10월의 마지막밤 . 더 보고싶네 그사람,이별은 보고 싶은 마음을 참는 과정이죠.,1
14년된 여자친구랑 이별,충분히 슬퍼하고 충분히 아파하다가 이겨내세요.,1
14년의 기나긴 이야기.,좋은 연애였길 바라요.,1
15년…안녕,시간이 무색하네요.,1
15년만에 쓰는 편지.,천천히 써보세요.,1
1년 9개월 의 연애 종지부.,또 다른 사랑이 찾아올 거예요.,1
1년 반.,만난 시간 만큼 힘들 겠지만 잘 이겨낼 수 있을 거예요.,1
1년4개월의 종지부를 찍네.,충분히 슬퍼하고 충분히 아파하다가 이겨내세요.,1
1년동거 끝에 헤어짐,현실과 마주하셨나봐요.,1
1년만에 꿈에나와서 설레게하네,은연 중에 생각했나봐요.,1
1년만에 다시헤어지게 됐네,헤어짐은 항상 힘들죠.,1
1년만의 연애가 끝났네,만난 시간 만큼 힘들 겠지만 잘 이겨낼 수 있을 거예요.,1
1년을 넘게 만났는데 어떻게 이럽니까,시간이 무색해지네요.,1
1년이 되어갑니다,시간이 흐른 거 같은데 아직 많이 아프신가봐요.,1
1년이 아무것도 아니였나,아무것도 아닌 건 아닐 거예요.,1
1년이 지났어도,잊지 못하고 있나요.,1
1년전 그 날,생각이 더 나죠.,1
1년전 헤어진 남자한테서 연락이 왔어,헤어지면 연락 하지도 받지도 마세요.,1
2년 6개월 이렇게 끝나네,인연이 여기까지였나봅니다.,1
2년 가까이 여친하구 헤어졌습니다,안타깝네요.,1
2년 가량의 연애,안 좋은 기억보다 좋은 기억이 더 많았으면 좋겠네요.,1
2년 다되가는 연애 끝.,인연이 거기까지였나봐요.,1
2년 만에 연락 그후입니다 .,다시 연락을 했나봐요.,1
2년 사귀고 헤어졌습니다,짧지는 않은 시간 동안의 연애였는데 마음이 아프네요.,1
2년 정도를 만났는데 잘 이해가 안가,많이 알지 못했나봐요.,1
2년간 만난 여자친구와의 이별,애석하게도 헤어지셨네요.,1
2년간 연애끝에,만남을 정리하게 되었나봐요.,1
"2년간의 단거리, 2년간의 장거리, 그리고 이별.",고생 많았어요.,1
2년동안 나 사랑해줘서 고맙다,좋은 사랑 하셨나봐요.,1
2년만에 연락을 했습니다.,추억은 추억일 때 좋을 때도 있어요.,1
2년사귀다가 헤어젔는데,많이 힘들지 않았으면 좋겠네요.,1
